Duration,Pulse,Maxpulse,Calories
60,110.0,130.0,409.1
60,117.0,145.0,479.0
60,103.0,135.0,340.0
45,109.0,175.0,282.4
45,117.0,148.0,406.0
45,104.0,134.0,253.3
30,109.0,133.0,195.1
60,98.0,124.0,269.0
60,98.0,124.0,269.0
60,103.0,147.0,329.3
60,,120.0,250.7
60,,128.0,345.3
60,104.0,132.0,379.3
60,,123.0,275.0
0,103.0,132.0,
60,98.0,120.0,215.2
60,100.0,120.0,300.0
45,90.0,112.0,
60,103.0,123.0,323.0
45,97.0,125.0,243.0
45,107.0,137.0,
45,97.0,125.0,243.0
60,98.0,124.0,269.0
45,97.0,125.0,243.0
45,97.0,125.0,243.0
